requested_instrument,min_funding_rate,max_funding_rate,avg_funding_rate,exchange_count,avg_price,total_volume_24h,total_open_interest,exchanges,funding_spread_pct
BTC,-1.76,2.7097,0.5070510638297872,26,74009.6711827957,39376607825.620964,46955051582.348495,"['WhiteBIT', 'MEXC', 'Binance', 'OKX', 'Coinbase', 'ApeX Omni', 'Bybit', 'Gate', 'Binance', 'Bitget', 'Hyperliquid', 'Bitunix', 'BingX', 'LBank', 'Aster', 'Crypto.com', 'Binance', 'Deribit', 'CoinEx', 'EdgeX', 'Bitmex', 'KuCoin', 'HTX', 'OKX', 'Kraken', 'Extended', 'Bybit', 'BingX', 'Bitunix', 'MEXC', 'BingX', 'Bybit', 'Bitunix', 'Bitfinex', 'Crypto.com', 'Crypto.com', 'dYdX', 'Bitget', 'MEXC', 'Binance', 'OKX', 'Binance', 'Bitmex', 'Binance', 'Binance', 'Deribit', 'Deribit', 'CoinEx', 'Paradex', 'Deribit', 'Deribit', 'Deribit', 'KuCoin', 'OKX', 'HTX', 'OKX', 'Deribit', 'Bitget', 'KuCoin', 'CoinEx', 'Bitget', 'Deribit', 'Deribit', 'HTX', 'HTX', 'HTX', 'Bybit', 'Deribit', 'OKX', 'OKX', 'OKX', 'Bybit', 'Bybit', 'Bybit', 'Bybit', 'Deribit', 'Bitmex', 'Bybit', 'Deribit', 'Bybit', 'Bitmex', 'Bybit', 'Bybit', 'KuCoin', 'OKX', 'Kraken', 'Bitmex', 'Deribit', 'Bybit', 'Deribit', 'Kraken', 'Kraken', 'Kraken']",4.4697
SOL,-1.0,3.4404,0.7300774999999999,25,82.63704375,3906867390.231583,4923181620.09418,"['MEXC', 'Coinbase', 'Binance', 'WhiteBIT', 'OKX', 'Bybit', 'Gate', 'BingX', 'LBank', 'Bitget', 'Binance', 'Bitunix', 'Hyperliquid', 'EdgeX', 'MEXC', 'Aster', 'Kraken', 'Binance', 'KuCoin', 'CoinEx', 'Extended', 'BingX', 'Crypto.com', 'BingX', 'OKX', 'HTX', 'Bitunix', 'MEXC', 'Bitunix', 'ApeX Omni', 'Bybit', 'Bitget', 'Bitmex', 'Bybit', 'dYdX', 'Kraken', 'Kraken', 'Paradex', 'CoinEx', 'Binance', 'Bybit', 'Binance', 'Lighter', 'Bybit', 'KuCoin', 'KuCoin', 'Bybit', 'Bybit']",4.4404
POL,-0.0711,4.22,0.5704125,21,0.09066891666666667,35113798.2496844,61240614.315766,"['WhiteBIT', 'Binance', 'BingX', 'Bybit', 'LBank', 'OKX', 'BingX', 'ApeX Omni', 'Bitunix', 'MEXC', 'KuCoin', 'Bitget', 'Hyperliquid', 'Gate', 'CoinEx', 'MEXC', 'Kraken', 'Coinbase', 'HTX', 'Bybit', 'Aster', 'Crypto.com', 'Bitmex', 'Lighter']",4.2911
ARB,-2.1838,1.98,0.4996285714285714,23,0.10226393103448275,90079357.85984801,101513159.258205,"['Binance', 'WhiteBIT', 'Bybit', 'LBank', 'OKX', 'BingX', 'BingX', 'ApeX Omni', 'Gate', 'MEXC', 'Binance', 'Hyperliquid', 'Bitget', 'Bitunix', 'KuCoin', 'CoinEx', 'MEXC', 'HTX', 'Kraken', 'Bitunix', 'Lighter', 'CoinEx', 'Coinbase', 'Extended', 'Aster', 'Bybit', 'Bitmex', 'Paradex', 'Crypto.com']",4.1638
LDO,-2.371,1.4,0.417575,20,0.32490549999999996,37370507.635977,50792128.696108006,"['ApeX Omni', 'Binance', 'BingX', 'WhiteBIT', 'Bybit', 'OKX', 'MEXC', 'Bitunix', 'Hyperliquid', 'Bitget', 'CoinEx', 'KuCoin', 'Gate', 'Kraken', 'Coinbase', 'Extended', 'HTX', 'Aster', 'Paradex', 'Crypto.com']",3.771
WLFI,-0.76,2.7881,0.5291814814814815,23,0.05910239285714286,67689896.099409,189131859.366449,"['WhiteBIT', 'Binance', 'OKX', 'BingX', 'BingX', 'Bybit', 'Bitget', 'Aster', 'Gate', 'MEXC', 'Hyperliquid', 'LBank', 'Bitunix', 'Binance', 'Extended', 'KuCoin', 'Bitmex', 'CoinEx', 'MEXC', 'Kraken', 'Crypto.com', 'Coinbase', 'Bitunix', 'ApeX Omni', 'Lighter', 'Bybit', 'HTX', 'Paradex']",3.5481
ONDO,-2.32,1.0,-0.330432,22,0.3583932,586186869.208076,199238683.176492,"['Binance', 'OKX', 'Bybit', 'MEXC', 'Bitget', 'WhiteBIT', 'Bitunix', 'BingX', 'Hyperliquid', 'LBank', 'Gate', 'ApeX Omni', 'KuCoin', 'CoinEx', 'Kraken', 'Extended', 'BingX', 'EdgeX', 'Coinbase', 'Bybit', 'Aster', 'MEXC', 'HTX', 'Crypto.com', 'Paradex']",3.32
APT,-1.8383,1.1,0.138148,22,0.9359879999999999,74184629.0192538,83703438.3728298,"['Binance', 'WhiteBIT', 'Bybit', 'BingX', 'OKX', 'ApeX Omni', 'BingX', 'MEXC', 'LBank', 'Bitget', 'Hyperliquid', 'Bitunix', 'KuCoin', 'Gate', 'CoinEx', 'MEXC', 'Kraken', 'Coinbase', 'HTX', 'Aster', 'Extended', 'Bybit', 'dYdX', 'Crypto.com', 'Lighter']",2.9383
FARTCOIN,-1.52,1.0,0.205244,22,0.15909156,93810866.4098872,127136223.114187,"['Bybit', 'Binance', 'ApeX Omni', 'BingX', 'MEXC', 'BingX', 'Gate', 'WhiteBIT', 'LBank', 'OKX', 'Hyperliquid', 'Bitunix', 'Bitget', 'KuCoin', 'Extended', 'Kraken', 'CoinEx', 'Coinbase', 'MEXC', 'Aster', 'HTX', 'Lighter', 'Bybit', 'Crypto.com', 'Paradex']",2.52
NEAR,-1.3102,1.1,0.2784333333333333,22,2.3137816666666664,1007855802.0705891,561561081.7211075,"['Binance', 'Bybit', 'OKX', 'MEXC', 'WhiteBIT', 'Hyperliquid', 'Bitget', 'BingX', 'Binance', 'Bitunix', 'ApeX Omni', 'Gate', 'KuCoin', 'BingX', 'Kraken', 'CoinEx', 'Coinbase', 'Binance', 'BingX', 'Extended', 'Aster', 'Bitunix', 'Bitmex', 'Crypto.com', 'Bybit', 'HTX', 'MEXC', 'Bitget', 'Lighter', 'Paradex']",2.4102
