instrument,exchange_count,instrument_id,base_asset,quote_asset,max_leverage,funding_interval,price_tick_size
HOODUSDT,6,HOODUSDT,HOOD,USDT,20.0,8.0,0.01
PEOPLEUSDT,6,PEOPLEUSDT,PEOPLE,USDT,50.0,8.0,1e-05
IMXUSDT,6,IMXUSDT,IMX,USDT,75.0,4.0,0.0001
PIEVERSEUSDT,6,PIEVERSEUSDT,PIEVERSE,USDT,20.0,1.0,0.0001
REZ,6,REZ-USDT,REZ,USDT,3.0,4.0,1e-06
ARIAUSDT,6,ARIAUSDT,ARIA,USDT,10.0,1.0,0.0001
ELSAUSDT,6,ELSAUSDT,ELSA,USDT,20.0,1.0,1e-05
HOMEUSDT,6,HOMEUSDT,HOME,USDT,75.0,1.0,1e-06
AIOUSDT,6,AIOUSDT,AIO,USDT,50.0,4.0,1e-05
HOLOUSDT,6,HOLOUSDT,HOLO,USDT,50.0,4.0,1e-05
PIXELUSDT,6,PIXELUSDT,PIXEL,USDT,50.0,1.0,1e-06
ORCLUSDT,6,ORCLUSDT,ORCL,USDT,20.0,8.0,0.01
ORCAUSDT,6,ORCAUSDT,ORCA,USDT,50.0,1.0,0.001
RKLBUSDT,6,RKLBUSDT,RKLB,USDT,20.0,8.0,0.01
ESPORTSUSDT,6,ESPORTSUSDT,ESPORTS,USDT,10.0,4.0,1e-05
JCTUSDT,6,JCTUSDT,JCT,USDT,20.0,1.0,1e-06
ESPUSDT,6,ESPUSDT,ESP,USDT,25.0,1.0,1e-05
AIXBT,6,AIXBT-USDT,AIXBT,USDT,3.0,4.0,1e-05
JSTUSDT,6,JSTUSDT,JST,USDT,75.0,4.0,1e-05
HMSTRUSDT,6,HMSTRUSDT,HMSTR,USDT,50.0,1.0,1e-07
ROBO,6,ROBO-USDT,ROBO,USDT,50.0,4.0,1e-05
OPN,6,OPN-USDT,OPN,USDT,50.0,4.0,0.0001
OPGUSDT,6,OPGUSDT,OPG,USDT,20.0,1.0,0.0001
IRYSUSDT,6,IRYSUSDT,IRYS,USDT,20.0,1.0,1e-05
ANIME,6,ANIME-USDT,ANIME,USDT,3.0,4.0,1e-06
PLTRUSDT,6,PLTRUSDT,PLTR,USDT,20.0,8.0,0.01
DEXEUSDT,6,DEXEUSDT,DEXE,USDT,50.0,1.0,0.001
INTCUSDT,6,INTCUSDT,INTC,USDT,20.0,8.0,0.01
RAVEUSDT,6,RAVEUSDT,RAVE,USDT,20.0,1.0,1e-05
DOLOUSDT,6,DOLOUSDT,DOLO,USDT,25.0,1.0,1e-05
QQQUSDT,6,QQQUSDT,QQQ,USDT,20.0,8.0,0.01
DOODUSDT,6,DOODUSDT,DOOD,USDT,50.0,1.0,1e-06
ARMUSDT,6,ARMUSDT,ARM,USDT,20.0,8.0,0.01
QNTUSDT,6,QNTUSDT,QNT,USDT,75.0,8.0,0.01
REDUSDT,6,REDUSDT,RED,USDT,50.0,1.0,0.0001
INUSDT,6,INUSDT,IN,USDT,50.0,4.0,1e-05
DRAMUSDT,6,DRAMUSDT,DRAM,USDT,20.0,8.0,0.01
INITUSDT,6,INITUSDT,INIT,USDT,25.0,1.0,1e-05
INXUSDT,6,INXUSDT,INX,USDT,50.0,1.0,1e-06
HYPERUSDT,6,HYPERUSDT,HYPER,USDT,50.0,1.0,1e-05
IOTAUSDT,6,IOTAUSDT,IOTA,USDT,75.0,8.0,0.0001
IOTXUSDT,6,IOTXUSDT,IOTX,USDT,50.0,8.0,1e-05
HUSDT,6,HUSDT,H,USDT,10.0,1.0,1e-05
DYMUSDT,6,DYMUSDT,DYM,USDT,25.0,1.0,1e-05
AEVO,6,AEVO-USDT,AEVO,USDT,75.0,4.0,1e-05
EDEN,6,EDEN-USD,EDEN,USD,10.0,1.0,1e-05
PRLUSDT,6,PRLUSDT,PRL,USDT,20.0,1.0,0.0001
ANIMEUSDT,6,ANIMEUSDT,ANIME,USDT,50.0,1.0,1e-06
POWERUSDT,6,POWERUSDT,POWER,USDT,20.0,1.0,1e-05
EGLDUSDT,6,EGLDUSDT,EGLD,USDT,75.0,8.0,0.001
ARKM,6,ARKM-USDT,ARKM,USDT,200.0,8.0,0.0001
RESOLVUSDT,6,RESOLVUSDT,RESOLV,USDT,50.0,1.0,1e-05
AR,6,AR-USDT,AR,USDT,5.0,8.0,0.001
KATUSDT,6,KATUSDT,KAT,USDT,50.0,1.0,1e-05
OPG,6,OPG-USDT,OPG,USDT,20.0,4.0,0.0001
FLOWUSDT,6,FLOWUSDT,FLOW,USDT,10.0,1.0,1e-05
LYNUSDT,6,LYNUSDT,LYN,USDT,20.0,1.0,1e-05
MEWUSDT,6,MEWUSDT,MEW,USDT,50.0,4.0,1e-07
MINA,6,MINA-USDT,MINA,USDT,3.0,8.0,0.0001
MINAUSDT,6,MINAUSDT,MINA,USDT,75.0,8.0,1e-05
LUMIAUSDT,6,LUMIAUSDT,LUMIA,USDT,10.0,1.0,1e-05
MMTUSDT,6,MMTUSDT,MMT,USDT,50.0,1.0,0.0001
FOLKSUSDT,6,FOLKSUSDT,FOLKS,USDT,50.0,1.0,0.001
FOGOUSDT,6,FOGOUSDT,FOGO,USDT,50.0,1.0,1e-05
FOGO,6,FOGO-USDT,FOGO,USDT,3.0,4.0,1e-05
GUNUSDT,6,GUNUSDT,GUN,USDT,50.0,1.0,1e-05
ALLOUSDT,6,ALLOUSDT,ALLO,USDT,25.0,1.0,1e-05
LPTUSDT,6,LPTUSDT,LPT,USDT,75.0,4.0,0.001
LITEUSDT,6,LITEUSDT,LITE,USDT,20.0,8.0,0.01
ROBOUSDT,6,ROBOUSDT,ROBO,USDT,50.0,1.0,1e-05
ALT,6,ALT-USDT,ALT,USDT,3.0,4.0,1e-05
