instrument,exchange_count,instrument_id,base_asset,quote_asset,max_leverage,funding_interval,price_tick_size
COOKIEUSDT,5,COOKIEUSDT,COOKIE,USDT,20.0,4.0,1e-05
HIVEUSDT,5,HIVEUSDT,HIVE,USDT,50.0,1.0,1e-05
BIRB,5,BIRB-USDT,BIRB,USDT,50.0,4.0,1e-05
CYBER,5,CYBER-USDT,CYBER,USDT,3.0,4.0,0.0001
HOME,5,HOME-USDT,HOME,USDT,50.0,4.0,1e-06
ARPAUSDT,5,ARPAUSDT,ARPA,USDT,50.0,1.0,1e-05
DEEPUSDT,5,DEEPUSDT,DEEP,USDT,50.0,4.0,1e-05
BSVUSDT,5,BSVUSDT,BSV,USDT,75.0,4.0,0.01
FUSDT,5,FUSDT,F,USDT,50.0,4.0,1e-06
BREV,5,BREV-USDT,BREV,USDT,20.0,4.0,0.0001
HOTUSDT,5,HOTUSDT,HOT,USDT,50.0,8.0,1e-06
CVCUSDT,5,CVCUSDT,CVC,USDT,50.0,4.0,1e-05
EDGEUSDT,5,EDGEUSDT,EDGE,USDT,50.0,1.0,0.0001
DOOD,5,DOOD-USDT,DOOD,USDT,3.0,4.0,1e-07
FLOCKUSDT,5,FLOCKUSDT,FLOCK,USDT,50.0,4.0,1e-05
BRKBUSDT,5,BRKBUSDT,BRKB,USDT,20.0,8.0,0.01
DOGSUSDT,5,DOGSUSDT,DOGS,USDT,50.0,1.0,1e-08
DOGS,5,DOGS-USDT,DOGS,USDT,200.0,4.0,1e-08
FRAXUSDT,5,FRAXUSDT,FRAX,USDT,50.0,1.0,0.0001
DASHUSDT,5,DASHUSDT,DASH,USDT,75.0,1.0,0.01
AWEUSDT,5,AWEUSDT,AWE,USDT,40.0,1.0,1e-05
BSBUSDT,5,BSBUSDT,BSB,USDT,10.0,1.0,1e-05
ICNTUSDT,5,ICNTUSDT,ICNT,USDT,50.0,4.0,0.0001
BSV,5,BSV-USDT,BSV,USDT,3.0,4.0,0.01
DRIFTUSDT,5,DRIFTUSDT,DRIFT,USDT,20.0,4.0,1e-05
FLOW,5,FLOW-USDT,FLOW,USDT,50.0,4.0,0.0001
FLUIDUSDT,5,FLUIDUSDT,FLUID,USDT,75.0,4.0,0.001
CSCOUSDT,5,CSCOUSDT,CSCO,USDT,20.0,8.0,0.01
FIGHTUSDT,5,FIGHTUSDT,FIGHT,USDT,20.0,1.0,1e-06
ARKUSDT,5,ARKUSDT,ARK,USDT,40.0,4.0,0.0001
AVAAIUSDT,5,AVAAIUSDT,AVAAI,USDT,20.0,1.0,1e-06
BANDUSDT,5,BANDUSDT,BAND,USDT,50.0,8.0,0.0001
GASUSDT,5,GASUSDT,GAS,USDT,75.0,4.0,0.001
EDENUSDT,5,EDENUSDT,EDEN,USDT,20.0,1.0,1e-05
DUSKUSDT,5,DUSKUSDT,DUSK,USDT,50.0,1.0,1e-05
BTRUSDT,5,BTRUSDT,BTR,USDT,10.0,4.0,1e-05
BANANAUSDT,5,BANANAUSDT,BANANA,USDT,25.0,4.0,0.001
GAS,5,GAS-USDT,GAS,USDT,3.0,4.0,0.001
CTRUSDT,5,CTRUSDT,CTR,USDT,20.0,4.0,1e-05
BANANA,5,BANANA-USDT,BANANA,USDT,3.0,4.0,0.001
HMSTR,5,HMSTR-USDT,HMSTR,USDT,3.0,4.0,1e-07
BSB,4,BSB-USDT,BSB,USDT,50.0,4.0,1e-05
FLUX,4,FLUX-USDT,FLUX,USDT,100.0,4.0,0.0001
OGUSDT,4,OGUSDT,OG,USDT,25.0,4.0,0.001
CETUS,4,CETUS-USDT,CETUS,USDT,100.0,4.0,1e-05
FLUID,4,FLUID-USDT,FLUID,USDT,100.0,4.0,0.0001
EUR,4,EUR-USD,EUR,USD,100.0,1.0,1e-05
SYNUSDT,4,SYNUSDT,SYN,USDT,10.0,4.0,1e-05
CELRUSDT,4,CELRUSDT,CELR,USDT,50.0,8.0,1e-06
ETHWUSDT,4,ETHWUSDT,ETHW,USDT,50.0,4.0,0.0001
OKB,4,OKB-USDT,OKB,USDT,25.0,4.0,0.01
T,4,T-PERP,T,USDC,50.0,1.0,1e-06
SXT,4,SXT-USDT,SXT,USDT,50.0,4.0,1e-05
ALCH,4,ALCH-USDT,ALCH,USDT,100.0,4.0,1e-05
NVDA,4,NVDA-PERP,NVDA,USDC,20.0,1.0,0.01
TSTUSDT,4,TSTUSDT,TST,USDT,20.0,1.0,1e-06
AAPL,4,AAPL-PERP,AAPL,USDC,20.0,1.0,0.01
TONUSD,4,TONUSD,TON,USD,20.0,8.0,0.0001
NATGASUSDT,4,NATGASUSDT,NATGAS,USDT,100.0,4.0,0.001
TLMUSDT,4,TLMUSDT,TLM,USDT,25.0,4.0,1e-06
AKT,4,AKT-USDT,AKT,USDT,50.0,4.0,0.0001
TRADOORUSDT,4,TRADOORUSDT,TRADOOR,USDT,20.0,4.0,0.001
FHE,4,FHE-USDT,FHE,USDT,50.0,4.0,1e-05
TREE,4,TREE-USDT,TREE,USDT,20.0,4.0,0.0001
MTLUSDT,4,MTLUSDT,MTL,USDT,50.0,8.0,0.0001
FLNCUSDT,4,FLNCUSDT,FLNC,USDT,20.0,8.0,0.01
TAKEUSDT,4,TAKEUSDT,TAKE,USDT,10.0,4.0,1e-05
MRVL,4,MRVL_USDT,MRVL,USDT,10.0,8.0,0.01
NMRUSDT,4,NMRUSDT,NMR,USDT,75.0,4.0,0.001
NOM,4,NOM-PERP,NOM,USDC,20.0,1.0,1e-06
EWJ,4,EWJ_USDT,EWJ,USDT,20.0,8.0,0.01
ILV,4,ILV-USDT,ILV,USDT,3.0,4.0,0.001
COLLECTUSDT,4,COLLECTUSDT,COLLECT,USDT,20.0,1.0,1e-05
CGPT,4,CGPT-USDT,CGPT,USDT,100.0,4.0,1e-05
SAFE,4,SAFE-USDT,SAFE,USDT,100.0,4.0,0.0001
SHELL,4,SHELL-USDT,SHELL,USDT,50.0,4.0,1e-05
SFPUSDT,4,SFPUSDT,SFP,USDT,75.0,8.0,0.0001
ASML,4,ASML_USDT,ASML,USDT,10.0,8.0,0.01
POWER,4,POWER-USDT,POWER,USDT,20.0,4.0,1e-05
CRWV,4,CRWV_USDT,CRWV,USDT,10.0,8.0,0.01
POWRUSDT,4,POWRUSDT,POWR,USDT,50.0,4.0,1e-05
SCRUSDT,4,SCRUSDT,SCR,USDT,10.0,4.0,1e-05
DUSK,4,DUSK-USDT,DUSK,USDT,20.0,4.0,1e-05
PTB,4,PTB-USDT,PTB,USDT,20.0,4.0,1e-07
CTKUSDT,4,CTKUSDT,CTK,USDT,50.0,4.0,0.0001
CTR,4,CTR_USDT,CTR,USDT,20.0,4.0,1e-05
PUMPBTCUSDT,4,PUMPBTCUSDT,PUMPBTC,USDT,10.0,1.0,1e-05
SAFEUSDT,4,SAFEUSDT,SAFE,USDT,50.0,4.0,0.0001
AGLDUSDT,4,AGLDUSDT,AGLD,USDT,50.0,8.0,0.0001
AGLD,4,AGLD-USDT,AGLD,USDT,50.0,8.0,0.0001
SUNUSDT,4,SUNUSDT,SUN,USDT,50.0,4.0,1e-06
DRAM,4,DRAM_USDT,DRAM,USDT,20.0,8.0,0.01
ARM,4,ARM-PERP,ARM,USDC,10.0,1.0,0.01
RVN,4,RVN-USDT,RVN,USDT,125.0,4.0,1e-05
QTUM,4,QTUM-USDT,QTUM,USDT,50.0,8.0,0.001
DOLO,4,DOLO-USDT,DOLO,USDT,20.0,4.0,1e-06
RPL,4,RPL-USDT,RPL,USDT,20.0,4.0,0.001
RAVE,4,RAVE-USDT,RAVE,USDT,50.0,4.0,0.0001
ARPA,4,ARPA-USDT,ARPA,USDT,125.0,8.0,1e-05
ROSE,4,ROSE-USDT,ROSE,USDT,100.0,8.0,1e-05
RAYUSDT,4,RAYUSDT_UMCBL,RAY,USDT,75.0,4.0,0.0001
RON,4,RON-USDT,RON,USDT,50.0,4.0,0.0001
RKLB,4,RKLB_USDT,RKLB,USDT,10.0,8.0,0.01
IDOLUSDT,4,IDOLUSDT,IDOL,USDT,50.0,4.0,1e-05
DIAUSDT,4,DIAUSDT,DIA,USDT,50.0,4.0,0.0001
SHIBUSDT,4,SHIBUSDT_UMCBL,SHIB,USDT,75.0,8.0,1e-09
EDUUSDT,4,EDUUSDT,EDU,USDT,50.0,1.0,1e-05
POLYX,4,POLYX-USDT,POLYX,USDT,3.0,4.0,1e-05
SIGN,4,SIGN-USDT,SIGN,USDT,20.0,4.0,1e-05
ACT,4,ACT-USDT,ACT,USDT,100.0,4.0,1e-05
CHILLGUY,4,CHILLGUY-USDT,CHILLGUY,USDT,3.0,4.0,1e-06
ONGUSDT,4,ONGUSDT,ONG,USDT,50.0,4.0,1e-05
ONT,4,ONT-USDT,ONT,USDT,50.0,4.0,0.0001
STORJ,4,STORJ-USDT,STORJ,USDT,20.0,4.0,0.0001
STO,4,STO-USDT,STO,USDT,50.0,4.0,1e-05
CKB,4,CKB-USDT,CKB,USDT,125.0,8.0,1e-06
STEEM,4,STEEM-USDT,STEEM,USDT,20.0,4.0,1e-05
CLANKER,4,CLANKER-USDT,CLANKER,USDT,50.0,4.0,0.01
CLOUSDT,4,CLOUSDT,CLO,USDT,10.0,1.0,1e-05
COAI,4,COAI-USDT,COAI,USDT,50.0,4.0,1e-05
ETCUSD,4,ETCUSD_PERP,ETC,USD,20.0,8.0,0.001
SPORTFUNUSDT,4,SPORTFUNUSDT,SPORTFUN,USDT,20.0,4.0,1e-05
PARTI,4,PARTI-USDT,PARTI,USDT,50.0,4.0,1e-05
AIOTUSDT,4,AIOTUSDT,AIOT,USDT,20.0,1.0,1e-05
ARC,4,ARC-USDT,ARC,USDT,,4.0,1e-05
COOKIE,4,COOKIE-USDT,COOKIE,USDT,100.0,4.0,1e-05
PAYPUSDT,4,PAYPUSDT,PAYP,USDT,20.0,8.0,0.01
ENSO,4,ENSO-USDT,ENSO,USDT,20.0,4.0,0.0001
PEPEUSDT,4,PEPEUSDT_UMCBL,PEPE,USDT,75.0,8.0,1e-10
PHA,4,PHA-USDT,PHA,USDT,50.0,4.0,1e-05
ARIA,4,ARIA-USDT,ARIA,USDT,20.0,4.0,1e-05
COSUSDT,4,COSUSDT,COS,USDT,10.0,1.0,1e-06
COTIUSDT,4,COTIUSDT,COTI,USDT,50.0,8.0,1e-05
COW,4,COW-USDT,COW,USDT,50.0,4.0,0.0001
SKYAI,4,SKYAI-USDT,SKYAI,USDT,100.0,4.0,1e-05
PLUME,4,PLUME-USDT,PLUME,USDT,100.0,4.0,1e-05
SKL,4,SKL-USDT,SKL,USDT,20.0,4.0,1e-05
SIREN,4,SIREN-USDT,SIREN,USDT,50.0,4.0,1e-05
BROCCOLIUSDT,4,BROCCOLIUSDT_UMCBL,BROCCOLI,USDT,20.0,4.0,1e-05
DIA,4,DIA-USDT,DIA,USDT,100.0,4.0,0.0001
XAI,4,XAI-USDT,XAI,USDT,3.0,4.0,1e-05
H,4,H-USDT,H,USDT,50.0,4.0,1e-05
1000CATUSDT,4,1000CATUSDT,1000CAT,USDT,20.0,4.0,1e-06
BICOUSDT,4,BICOUSDT,BICO,USDT,50.0,8.0,1e-05
LPT,4,LPT-USDT,LPT,USDT,50.0,4.0,0.001
LQTY,4,LQTY-USDT,LQTY,USDT,200.0,8.0,0.0001
LQTYUSDT,4,LQTYUSDT,LQTY,USDT,50.0,8.0,0.0001
1000RATSUSDT,4,1000RATSUSDT,1000RATS,USDT,40.0,4.0,1e-05
1000SATSUSDT,4,1000SATSUSDT,1000SATS,USDT,50.0,1.0,1e-07
LSKUSDT,4,LSKUSDT,LSK,USDT,50.0,4.0,0.0001
1000SHIBUSDT,4,1000SHIBUSDT,1000SHIB,USDT,25.0,1.0,1e-06
HNT,4,HNT-PERP,HNT,USDC,100.0,1.0,0.0001
JST,4,JST_USDT,JST,USDT,50.0,4.0,1e-05
XTZ,4,XTZ-PERP,XTZ,USDC,100.0,1.0,0.0001
GUSDT,4,GUSDT,G,USDT,50.0,1.0,1e-06
ALLO,4,ALLO-USDT,ALLO,USDT,100.0,4.0,1e-05
BLAST,4,BLAST-PERP,BLAST,USDC,3.0,1.0,1e-06
GUN,4,GUN-USDT,GUN,USDT,100.0,4.0,1e-05
JPMUSDT,4,JPMUSDT,JPM,USDT,20.0,8.0,0.01
LUNA2USDT,4,LUNA2USDT,LUNA2,USDT,50.0,1.0,1e-05
WAXPUSDT,4,WAXPUSDT,WAXP,USDT,50.0,4.0,1e-06
XVGUSDT,4,XVGUSDT,XVG,USDT,50.0,8.0,1e-06
BLENDUSDT,4,BLENDUSDT,BLEND,USDT,20.0,1.0,0.0001
WAL,4,WAL-USDT,WAL,USDT,20.0,4.0,1e-05
GUAUSDT,4,GUAUSDT,GUA,USDT,10.0,1.0,0.0001
BLESS,4,BLESS-USDT,BLESS,USDT,100.0,4.0,1e-06
MAGIC,4,MAGIC-USDT,MAGIC,USDT,50.0,4.0,0.0001
1000XECUSDT,4,1000XECUSDT,1000XEC,USDT,75.0,8.0,1e-05
VUSDT,4,VUSDT,V,USDT,20.0,8.0,0.01
KAIA,4,KAIA-USDT,KAIA,USDT,100.0,4.0,1e-05
LITE,4,LITE_USDT,LITE,USDT,10.0,8.0,0.01
GPS,4,GPS-USDT,GPS,USDT,100.0,4.0,1e-06
AUCTION,4,AUCTION-USDT,AUCTION,USDT,20.0,4.0,0.001
LAB,4,LAB-USDT,LAB,USDT,100.0,4.0,0.0001
APEXUSDT,4,APEXUSDT,APEX,USDT,50.0,1.0,0.0001
KSM,4,KSM-USDT,KSM,USDT,20.0,8.0,0.001
KOMAUSDT,4,KOMAUSDT,KOMA,USDT,10.0,1.0,1e-06
API3,4,API3-USDT,API3,USDT,50.0,4.0,0.0001
1000PEPE,4,1000PEPE-USDT,1000PEPE,USDT,25.0,8.0,1e-07
KNC,4,KNC-USDT,KNC,USDT,20.0,8.0,0.0001
BAT,4,BAT-USDT,BAT,USDT,125.0,8.0,0.0001
XPD,4,XPD_USDT,XPD,USDT,100.0,4.0,0.01
HANAUSDT,4,HANAUSDT,HANA,USDT,10.0,1.0,1e-05
HANA,4,HANA-USDT,HANA,USDT,100.0,4.0,1e-05
LIGHTUSDT,4,LIGHTUSDT,LIGHT,USDT,10.0,1.0,0.0001
HEMI,4,HEMI-USDT,HEMI,USDT,3.0,4.0,1e-06
BEAM,4,BEAM-USDT,BEAM,USDT,50.0,4.0,1e-06
KITE,4,KITE-USDT,KITE,USDT,50.0,4.0,1e-05
HAEDAL,4,HAEDAL-USDT,HAEDAL,USDT,125.0,4.0,1e-06
KGEN,4,KGEN-USDT,KGEN,USDT,50.0,4.0,1e-05
BEAMXUSDT,4,BEAMXUSDT,BEAMX,USDT,50.0,4.0,1e-06
BEAT,4,BEAT-USDT,BEAT,USDT,100.0,4.0,0.0001
KERNELUSDT,4,KERNELUSDT,KERNEL,USDT,50.0,4.0,1e-05
BELUSDT,4,BELUSDT,BEL,USDT,10.0,1.0,0.0001
HFTUSDT,4,HFTUSDT,HFT,USDT,25.0,8.0,1e-05
ALPINEUSDT,4,ALPINEUSDT,ALPINE,USDT,10.0,4.0,0.0001
KAVA,4,KAVA-USDT,KAVA,USDT,20.0,4.0,0.0001
LISTA,4,LISTA-USDT,LISTA,USDT,3.0,4.0,0.0001
1000FLOKIUSDT,4,1000FLOKIUSDT,1000FLOKI,USDT,75.0,8.0,1e-05
LISTAUSDT,4,LISTAUSDT,LISTA,USDT,50.0,4.0,1e-05
GRIFFAIN,4,GRIFFAIN-USDT,GRIFFAIN,USDT,3.0,4.0,1e-06
LA,4,LA-USDT,LA,USDT,20.0,4.0,0.0001
GOOGL,4,GOOGL-PERP,GOOGL,USDC,10.0,1.0,0.01
VANA,4,VANA-USDT,VANA,USDT,20.0,4.0,0.001
BNT,4,BNT_USDT,BNT,USDT,3.0,8.0,0.0001
APEX,4,APEX-USDT,APEX,USDT,3.0,4.0,0.0001
BNTUSDT,4,BNTUSDT,BNT,USDT,50.0,8.0,0.0001
BONK,4,BONK_USDT,BONK,USDT,50.0,4.0,1e-09
GENIUS,4,GENIUS-USDT,GENIUS,USDT,20.0,4.0,0.0001
HYPER,4,HYPER_USDT,HYPER,USDT,3.0,4.0,0.0001
YB,4,YB-USDT,YB,USDT,50.0,4.0,0.0001
META,4,META-PERP,META,USDC,10.0,1.0,0.01
AXL,4,AXL-USDT,AXL,USDT,50.0,4.0,0.0001
IOST,4,IOST-USDT,IOST,USDT,50.0,8.0,1e-06
METIS,4,METIS-USDT,METIS,USDT,50.0,4.0,0.001
ANKR,4,ANKR-USDT,ANKR,USDT,20.0,4.0,1e-06
INX,4,INX-USDT,INX,USDT,50.0,4.0,1e-06
ZKC,4,ZKC-USDT,ZKC,USDT,50.0,4.0,0.0001
INTC,4,INTC-PERP,INTC,USDC,10.0,1.0,0.01
ZKP,4,ZKP-USDT,ZKP,USDT,20.0,4.0,1e-05
4,4,4-USDT,4,USDT,5.0,4.0,1e-05
ICXUSDT,4,ICXUSDT,ICX,USDT,50.0,4.0,1e-05
ID,4,ID-USDT,ID,USDT,20.0,1.0,1e-05
UB,4,UB-USDT,UB,USDT,100.0,4.0,1e-06
MMT,4,MMT-USDT,MMT,USDT,20.0,4.0,0.0001
1000000MOGUSDT,4,1000000MOGUSDT,1000000MOG,USDT,75.0,4.0,0.0001
TWTUSDT,4,TWTUSDT,TWT,USDT,75.0,4.0,0.0001
FOLKS,4,FOLKS-USDT,FOLKS,USDT,100.0,4.0,0.001
ZRX,4,ZRX-USDT,ZRX,USDT,50.0,4.0,0.0001
GLM,4,GLM-USDT,GLM,USDT,50.0,4.0,1e-05
IOTA,4,IOTA-USDT,IOTA,USDT,3.0,8.0,0.0001
MAV,4,MAV-USDT,MAV,USDT,3.0,8.0,1e-05
MAVIA,4,MAVIA-USDT,MAVIA,USDT,3.0,4.0,1e-05
GOATUSDT,4,GOATUSDT,GOAT,USDT,25.0,4.0,1e-05
BABA,4,BABA_USDT,BABA,USDT,10.0,8.0,0.01
IRYS,4,IRYS-USDT,IRYS,USDT,20.0,4.0,1e-06
ZEREBRO,4,ZEREBRO-USDT,ZEREBRO,USDT,3.0,4.0,1e-05
BNBUSD,4,BNBUSD_PERP,BNB,USD,20.0,8.0,0.01
MANTRA,4,MANTRA-USDT,MANTRA,USDT,50.0,4.0,1e-05
YFIUSDT,4,YFIUSDT,YFI,USDT,75.0,8.0,1.0
HUMA,4,HUMA-USDT,HUMA,USDT,50.0,4.0,1e-06
BLUAI,4,BLUAI-USDT,BLUAI,USDT,50.0,4.0,1e-06
XNY,3,XNY-USDT,XNY,USDT,100.0,4.0,1e-06
AVAAI,3,AVAAI-USDT,AVAAI,USDT,100.0,4.0,1e-06
SILVER,3,SILVER-PERP,SILVER,USDC,1000.0,1.0,0.01
B3USDT,3,B3USDT,B3,USDT,20.0,1.0,1e-07
RLC,3,RLC-USDT,RLC,USDT,125.0,8.0,0.0001
RLCUSDT,3,RLCUSDT,RLC,USDT,50.0,8.0,0.0001
COTI,3,COTI-USDT,COTI,USDT,100.0,8.0,1e-05
CRCLX,3,CRCLX-USDT,CRCLX,USDT,,8.0,0.01
CROSS,3,CROSS-USDT,CROSS,USDT,100.0,4.0,1e-05
SAPIEN,3,SAPIEN-USDT,SAPIEN,USDT,50.0,4.0,1e-05
DELL,3,DELL_USDT,DELL,USDT,10.0,8.0,0.01
SLP,3,SLP-USDT,SLP,USDT,125.0,4.0,1e-07
XLE,3,XLE-USDT,XLE,USDT,20.0,8.0,0.001
BANANAS31,3,BANANAS31-USDT,BANANAS31,USDT,100.0,4.0,1e-06
BAND,3,BAND_USDT,BAND,USDT,100.0,8.0,0.0001
SLX,3,SLX-USDT,SLX,USDT,20.0,4.0,0.0001
XDC,3,XDC_USDT,XDC,USDT,100.0,4.0,1e-05
DEEP,3,DEEP-USDT,DEEP,USDT,100.0,4.0,1e-05
SCRTUSDT,3,SCRTUSDT,SCRT,USDT,40.0,4.0,1e-05
RONINUSDT,3,RONINUSDT,RONIN,USDT,75.0,1.0,0.0001
BAS,3,BAS-USDT,BAS,USDT,100.0,4.0,1e-06
BANK,3,BANK-USDT,BANK,USDT,100.0,4.0,1e-06
CVX,3,CVX_USDT,CVX,USDT,20.0,8.0,0.001
CYS,3,CYS-USDT,CYS,USDT,50.0,4.0,0.0001
XRPUSDC,3,XRPUSDC,XRP,USDC,75.0,8.0,0.0001
ZEST,3,ZEST-USDT,ZEST,USDT,20.0,4.0,1e-05
AERGOUSDT,3,AERGOUSDT,AERGO,USDT,50.0,4.0,1e-05
1000CHEEMSUSDT,3,1000CHEEMSUSDT,1000CHEEMS,USDT,25.0,1.0,1e-07
AVA,3,AVA-USDT,AVA,USDT,100.0,4.0,0.0001
CVC,3,CVC_USDT,CVC,USDT,50.0,8.0,1e-05
D,3,D-USDT,D,USDT,20.0,4.0,1e-06
SHLD,3,SHLD_USDT,SHLD,USDT,20.0,8.0,0.01
SFP,3,SFP-USDT,SFP,USDT,200.0,8.0,0.0001
XPIN,3,XPIN-USDT,XPIN,USDT,100.0,4.0,1e-07
CTSIUSDT,3,CTSIUSDT,CTSI,USDT,50.0,8.0,1e-05
B,3,B-USDT,B,USDT,100.0,4.0,0.0001
ZIL,3,ZIL_USDT,ZIL,USDT,125.0,4.0,1e-06
B2,3,B2-USDT,B2,USDT,100.0,4.0,0.0001
B3,3,B3-PERP,B3,USDC,20.0,1.0,1e-06
AWE,3,AWE-USDT,AWE,USDT,20.0,4.0,1e-06
SCRT,3,SCRT-USDT,SCRT,USDT,50.0,4.0,0.0001
CTK,3,CTK-USDT,CTK,USDT,125.0,4.0,0.0001
TUT,3,TUT-USDT,TUT,USDT,100.0,4.0,1e-05
ADAUSDC,3,ADAUSDC,ADA,USDC,25.0,4.0,0.0001
BULLAUSDT,3,BULLAUSDT,BULLA,USDT,10.0,1.0,1e-06
USTC,3,USTC_USDT,USTC,USDT,3.0,4.0,1e-06
TOSHI,3,TOSHI-USDT,TOSHI,USDT,50.0,4.0,1e-07
C,3,C-USDT,C,USDT,50.0,4.0,1e-05
C98,3,C98_USDT,C98,USDT,100.0,8.0,1e-05
TLM,3,TLM-USDT,TLM,USDT,20.0,4.0,1e-06
BNBUSDC,3,BNBUSDC,BNB,USDC,75.0,8.0,0.01
VANRY,3,VANRY-USDT,VANRY,USDT,50.0,4.0,1e-06
CARV,3,CARV-USDT,CARV,USDT,20.0,4.0,0.0001
VELODROME,3,VELODROME-USDT,VELODROME,USDT,50.0,4.0,1e-05
VELVET,3,VELVET-USDT,VELVET,USDT,50.0,4.0,1e-05
THE,3,THE-USDT,THE,USDT,100.0,4.0,0.0001
VICUSDT,3,VICUSDT,VIC,USDT,20.0,4.0,1e-05
AAVEUSDC,3,AAVEUSDC,AAVE,USDC,75.0,8.0,0.01
TAKE,3,TAKE-USDT,TAKE,USDT,50.0,4.0,1e-05
TAIKO,3,TAIKO-USDT,TAIKO,USDT,50.0,4.0,0.0001
BMNR,3,BMNR_USDT,BMNR,USDT,,8.0,0.01
TAG,3,TAG-USDT,TAG,USDT,100.0,4.0,1e-07
1MBABYDOGEUSDT,3,1MBABYDOGEUSDT,1MBABYDOGE,USDT,75.0,4.0,1e-07
TRADOOR,3,TRADOOR-USDT,TRADOOR,USDT,100.0,4.0,0.0001
VTHOUSDT,3,VTHOUSDT,VTHO,USDT,50.0,4.0,1e-07
USDCUSDT,3,USDCUSDT,USDC,USDT,50.0,8.0,1e-06
TWT,3,TWT-USDT,TWT,USDT,125.0,4.0,0.0001
UAI,3,UAI-USDT,UAI,USDT,50.0,4.0,0.0001
TURTLE,3,TURTLE-USDT,TURTLE,USDT,20.0,4.0,1e-05
UBERUSDT,3,UBERUSDT,UBER,USDT,20.0,8.0,0.01
BROCCOLI,3,BROCCOLI-USDT,BROCCOLI,USDT,20.0,4.0,1e-05
BRENTOIL,3,BRENTOIL-USDT,BRENTOIL,USDT,20.0,1.0,0.01
US,3,US-USDT,US,USDT,100.0,4.0,1e-05
TSLAX,3,TSLAX_USDT,TSLAX,USDT,,8.0,0.01
USAR,3,USAR_USDT,USAR,USDT,10.0,8.0,0.01
BTCDOMUSDT,3,BTCDOMUSDT,BTCDOM,USDT,20.0,1.0,0.1
TSLA,3,TSLA-PERP,TSLA,USDC,10.0,1.0,0.01
AT,3,AT-USDT,AT,USDT,50.0,4.0,1e-05
TRUTH,3,TRUTH-USDT,TRUTH,USDT,20.0,4.0,1e-06
BTCUSDC,3,BTCUSDC,BTC,USDC,125.0,8.0,0.1
DEXE,3,DEXE-USDT,DEXE,USDT,50.0,4.0,0.01
BR,3,BR-USDT,BR,USDT,100.0,4.0,1e-05
USD1USDT,3,USD1USDT,USD1,USDT,50.0,8.0,0.0001
TAC,3,TAC-USDT,TAC,USDT,50.0,4.0,1e-06
TA,3,TA-USDT,TA,USDT,50.0,4.0,1e-05
COSTUSDT,3,COSTUSDT_UMCBL,COST,USDT,25.0,8.0,0.01
SPELLUSDT,3,SPELLUSDT,SPELL,USDT,50.0,8.0,1e-07
SPCX,3,SPCX_USDT,SPCX,USDT,5.0,8.0,0.01
SPACEX,3,SPACEX_USDT,SPACEX,USDT,,8.0,0.01
ASR,3,ASR-USDT,ASR,USDT,50.0,4.0,0.001
SPACE,3,SPACE_USDT,SPACE,USDT,100.0,4.0,1e-06
BE,3,BE-PERP,BE,USDC,,1.0,0.01
COPPER,3,COPPER-USDT,COPPER,USDT,100.0,4.0,0.001
COPPERUSDT,3,COPPERUSDT,COPPER,USDT,100.0,4.0,0.001
CORE,3,CORE_USDT,CORE,USDT,100.0,8.0,1e-05
SONIC,3,SONIC_USDT,SONIC,USDT,50.0,4.0,1e-05
ACX,3,ACX-USDT,ACX,USDT,50.0,4.0,1e-05
COREUSDT,3,COREUSDT,CORE,USDT,25.0,8.0,1e-05
SOLV,3,SOLV-USDT,SOLV,USDT,100.0,4.0,1e-05
BCHUSDC,3,BCHUSDC,BCH,USDC,75.0,8.0,0.01
XCN,3,XCN-USDT,XCN,USDT,20.0,4.0,1e-07
COST,3,COST_USDT,COST,USDT,20.0,8.0,0.01
XCU,3,XCU-USD,XCU,USD,10.0,1.0,0.0001
SOLUSDC,3,SOLUSDC,SOL,USDC,100.0,8.0,0.01
BROCCOLIF3B,3,BROCCOLIF3B-USDT,BROCCOLIF3B,USDT,100.0,4.0,1e-06
COLLECT,3,COLLECT-USDT,COLLECT,USDT,50.0,4.0,1e-05
WAVES,3,WAVES-USDT,WAVES,USDT,20.0,8.0,0.0001
SPX500,3,SPX500_USDT,SPX500,USDT,100.0,8.0,0.01
SWARMS,3,SWARMS-USDT,SWARMS,USDT,100.0,4.0,1e-05
WAXP,3,WAXP_USDT,WAXP,USDT,20.0,4.0,1e-06
BLEND,3,BLEND-USDT,BLEND,USDT,50.0,4.0,1e-05
WET,3,WET-USDT,WET,USDT,50.0,4.0,1e-05
ACH,3,ACH-USDT,ACH,USDT,125.0,8.0,1e-06
SUIUSDC,3,SUIUSDC,SUI,USDC,50.0,8.0,0.0001
ASTEROID,3,ASTEROID-USDT,ASTEROID,USDT,20.0,4.0,1e-07
CHR,3,CHR-USDT,CHR,USDT,100.0,8.0,1e-05
1000SHIB,3,1000SHIB-PERP,SHIB,USDC,25.0,1.0,1e-06
BICO,3,BICO_USDT,BICO,USDT,50.0,8.0,1e-05
WTI,3,WTI-USD,WTI,USD,5.0,1.0,0.001
CLO,3,CLO-USDT,CLO,USDT,50.0,4.0,1e-05
STARUSDT,3,STARUSDT,STAR,USDT,3.0,1.0,1e-05
STAR,3,STAR-USDT,STAR,USDT,10.0,4.0,1e-05
SQD,3,SQD-USDT,SQD,USDT,50.0,4.0,1e-05
SPY,3,SPY-PERP,SPY,USDC,,1.0,0.01
